98.352,96.568,8.568,53.92,0
91.888,89.888,1.888,74.44,3
94.352,92.528,5.352,55.88,1
96.552,95.368,7.368,50.92,0
91.472,89.472,1.472,72.36,3
94.96,93.44,5.96,57.4,1
98.976,96.984,8.984,54.96,0
94.256,92.384,5.256,55.64,1
89.2,87.04,0,83.4,4
97.656,96.104,8.104,52.76,0
97.176,95.784,7.784,51.96,0
91.68,89.68,1.68,73.4,3
92.816,90.816,3.224,62.04,2
92.128,90.128,2.192,60.32,2
86.04,83.248,0,77.08,4
94.544,92.816,5.544,56.36,1
90.288,88.288,0.288,66.44,3
92.304,90.304,2.456,60.76,2
89.04,86.848,0,83.08,4
92.384,90.384,2.576,60.96,2
89.28,87.136,0,83.56,4
92.064,90.064,2.096,60.16,2
95.84,94.76,6.84,59.6,1
91.296,89.296,1.296,71.48,3
96.936,95.624,7.624,51.56,0
94.016,92.024,5.016,55.04,1
98.496,96.664,8.664,54.16,0
97.128,95.752,7.752,51.88,0
90.496,88.496,0.496,67.48,3
92.352,90.352,2.528,60.88,2
85.16,82.192,0,75.32,4
90.064,88.064,0.064,65.32,3
96.48,95.32,7.32,50.8,0
97.296,95.864,7.864,52.16,0
89.08,86.896,0,83.16,4
92.032,90.032,2.048,60.08,2
85.28,82.336,0,75.56,4
88.76,86.512,0,82.52,4
94.176,92.264,5.176,55.44,1
93.824,91.824,4.736,64.56,2
91.232,89.232,1.232,71.16,3
97.752,96.168,8.168,52.92,0
94.336,92.504,5.336,55.84,1
96.888,95.592,7.592,51.48,0
90.272,88.272,0.272,66.36,3
98.784,96.856,8.856,54.64,0
97.032,95.688,7.688,51.72,0
92.752,90.752,3.128,61.88,2
94.656,92.984,5.656,56.64,1
96.456,95.304,7.304,50.76,0
96.84,95.56,7.56,51.4,0
89.4,87.28,0,83.8,4
96.864,95.576,7.576,51.44,0
89,86.8,0,83,4
94.768,93.152,5.768,56.92,1
93.952,91.952,4.928,64.88,2
85.68,82.816,0,76.36,4
90.08,88.08,0.08,65.4,3
93.968,91.968,4.952,64.92,2
88.68,86.416,0,82.36,4
97.56,96.04,8.04,52.6,0
90.224,88.224,0.224,66.12,3
95.984,94.976,6.984,59.96,1
98.376,96.584,8.584,53.96,0
97.896,96.264,8.264,53.16,0
95.68,94.52,6.68,59.2,1
87.16,84.592,0,79.32,4
93.024,91.024,3.536,62.56,2
90.704,88.704,0.704,68.52,3
96.792,95.528,7.528,51.32,0
94.896,93.344,5.896,57.24,1
91.024,89.024,1.024,70.12,3
89.12,86.944,0,83.24,4
90.032,88.032,0.032,65.16,3
88.52,86.224,0,82.04,4
92.448,90.448,2.672,61.12,2
89.56,87.472,0,84.12,4
92.496,90.496,2.744,61.24,2
90.352,88.352,0.352,66.76,3
96.912,95.608,7.608,51.52,0
91.584,89.584,1.584,72.92,3
92.48,90.48,2.72,61.2,2
98.424,96.616,8.616,54.04,0
93.504,91.504,4.256,63.76,2
90.944,88.944,0.944,69.72,3
93.664,91.664,4.496,64.16,2
90.784,88.784,0.784,68.92,3
89.36,87.232,0,83.72,4
94.288,92.432,5.288,55.72,1
95.6,94.4,6.6,59,1
98.688,96.792,8.792,54.48,0
93.04,91.04,3.56,62.6,2
93.296,91.296,3.944,63.24,2
91.92,89.92,1.92,74.6,3
94.944,93.416,5.944,57.36,1
90.112,88.112,0.112,65.56,3
91.952,89.952,1.952,74.76,3
91.536,89.536,1.536,72.68,3
87,84.4,0,79,4
89.8,87.76,0,84.6,4
90.736,88.736,0.736,68.68,3
94.832,93.248,5.832,57.08,1
95.072,93.608,6.072,57.68,1
96.696,95.464,7.464,51.16,0
85.52,82.624,0,76.04,4
90.8,88.8,0.8,69,3
93.984,91.984,4.976,64.96,2
91.44,89.44,1.44,72.2,3
85.44,82.528,0,75.88,4
95.12,93.68,6.12,57.8,1
93.2,91.2,3.8,63,2
90.608,88.608,0.608,68.04,3
95.952,94.928,6.952,59.88,1
90.4,88.4,0.4,67,3
93.424,91.424,4.136,63.56,2
96.144,95.096,7.096,50.24,0
98.664,96.776,8.776,54.44,0
92.672,90.672,3.008,61.68,2
94.8,93.2,5.8,57,1
91.936,89.936,1.936,74.68,3
97.536,96.024,8.024,52.56,0
97.584,96.056,8.056,52.64,0
97.488,95.992,7.992,52.48,0
86.4,83.68,0,77.8,4
92.928,90.928,3.392,62.32,2
88.72,86.464,0,82.44,4
96.384,95.256,7.256,50.64,0
88.88,86.656,0,82.76,4
89.16,86.992,0,83.32,4
91.808,89.808,1.808,74.04,3
95.552,94.328,6.552,58.88,1
95.392,94.088,6.392,58.48,1
95.168,93.752,6.168,57.92,1
97.992,96.328,8.328,53.32,0
91.872,89.872,1.872,74.36,3
87.2,84.64,0,79.4,4
92.72,90.72,3.08,61.8,2
95.568,94.352,6.568,58.92,1
94.928,93.392,5.928,57.32,1
91.824,89.824,1.824,74.12,3
88.24,85.888,0,81.48,4
91.184,89.184,1.184,70.92,3
93.36,91.36,4.04,63.4,2
92.24,90.24,2.36,60.6,2
90.384,88.384,0.384,66.92,3
95.808,94.712,6.808,59.52,1
93.168,91.168,3.752,62.92,2
98.04,96.36,8.36,53.4,0
96.648,95.432,7.432,51.08,0
86.28,83.536,0,77.56,4
94.64,92.96,5.64,56.6,1
92.544,90.544,2.816,61.36,2
87.68,85.216,0,80.36,4
95.76,94.64,6.76,59.4,1
92.96,90.96,3.44,62.4,2
98.064,96.376,8.376,53.44,0
86.88,84.256,0,78.76,4
89.32,87.184,0,83.64,4
97.056,95.704,7.704,51.76,0
95.056,93.584,6.056,57.64,1
